"filename", "language", "Properties", "JavaScript", "JSON", "HTML", "Vue", "XML", "Docker", "SCSS", "JSON with Comments", "CSS", "TypeScript", "Markdown", "comment", "blank", "total"
"d:\APractce\MALL\mall4v-master\.eslintrc-auto-import.json", "JSON", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94
"d:\APractce\MALL\mall4v-master\.eslintrc.cjs", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 80
"d:\APractce\MALL\mall4v-master\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\APractce\MALL\mall4v-master\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 44, 91
"d:\APractce\MALL\mall4v-master\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\APractce\MALL\mall4v-master\nginx.conf", "Properties", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\APractce\MALL\mall4v-master\package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\icons\default\icons.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\jquery.tinymce.min.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 91
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\langs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\langs\zh_CN.js", "JavaScript", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\advlist\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\anchor\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\autolink\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\autoresize\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\autosave\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\bbcode\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\charmap\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\code\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\codesample\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\colorpicker\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\contextmenu\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\directionality\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\emoticons\js\emojiimages.js", "JavaScript", 0, 9422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9424
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\emoticons\js\emojiimages.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\emoticons\js\emojis.js", "JavaScript", 0, 9422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9423
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\emoticons\js\emojis.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\emoticons\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\fullpage\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\fullscreen\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\help\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\hr\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\image\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\imagetools\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\importcss\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\insertdatetime\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\legacyoutput\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\link\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\lists\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\media\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\nonbreaking\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\noneditable\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\pagebreak\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\paste\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\preview\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\print\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\quickbars\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\save\plugin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
